Customer_ID,Age,Gender,Employment_Type,Annual_Income,Credit_Score,Loan_or_Credit_Amount,Number_of_Active_Accounts,Past_Default_Count,Application_Type,Region,Credit_Limit,Utilization_Ratio,Application_Date,Default_Status
1,59,Female,Self-Employed,1327923,519,1256914,7,4,Credit Card,South,391299.4256254231,1.0,2021-12-14,Yes
2,49,Male,Salaried,795537,598,489423,6,2,Home Loan,West,307767.15533513646,1.0,2022-03-18,No
3,35,Female,Salaried,696674,559,987992,11,2,Home Loan,East,236112.70714546647,1.0,2022-02-15,No
4,28,Female,Salaried,466265,593,1286291,9,3,Personal Loan,South,225519.01672763636,1.0,2021-02-10,No
5,41,Male,Salaried,731712,490,327335,3,0,Auto Loan,East,201288.62827732737,1.0,2022-12-21,No
6,59,Male,Salaried,2460498,529,1101323,8,1,Personal Loan,West,1469936.7447932628,0.7492315597259894,2023-08-04,No
7,39,Male,Salaried,2263748,366,723418,5,0,Credit Card,Central,1131889.2090362664,0.6391243897589108,2023-05-17,No
8,43,Female,Salaried,1288617,365,1208606,5,1,Auto Loan,East,494110.26518314745,1.0,2022-05-24,No
9,31,Male,Salaried,1933950,734,1173235,10,3,Personal Loan,West,732801.8699492862,1.0,2022-04-13,No
10,31,Male,Self-Employed,809376,690,1457303,11,0,Home Loan,West,338460.2191071387,1.0,2021-04-29,No
11,44,Female,Self-Employed,1053959,395,680657,5,4,Home Loan,East,520923.16770291113,1.0,2022-08-13,Yes
12,56,Male,Salaried,553149,853,653128,8,3,Personal Loan,East,252799.5811161351,1.0,2021-06-11,No
13,44,Female,Salaried,990594,492,244626,7,3,Auto Loan,East,415462.88658299966,0.5888034958114833,2022-12-17,No
14,23,Female,Self-Employed,1743553,634,258468,11,2,Credit Card,East,555134.8400768558,0.4655949894339478,2021-02-03,No
15,42,Male,Salaried,344538,704,651149,7,1,Auto Loan,Central,107091.67595534955,1.0,2021-01-16,No
16,22,Female,Salaried,1754139,874,1074971,4,0,Personal Loan,South,1000774.1241055419,1.0,2021-10-18,No
17,44,Male,Salaried,978487,396,1155911,6,1,Home Loan,North,433544.6481653189,1.0,2023-01-17,No
18,50,Male,Salaried,1357511,877,303561,1,3,Home Loan,Central,614907.9149620755,0.4936690398898543,2023-10-11,No
19,58,Male,Salaried,1400391,456,537702,6,0,Credit Card,East,562233.7303911755,0.9563673805658948,2023-03-06,No
20,22,Female,Self-Employed,1643205,352,214986,5,4,Home Loan,West,818059.4161134087,0.2627999822083781,2023-07-26,No
21,41,Male,Self-Employed,1395772,444,595356,1,1,Credit Card,Central,740536.7511502103,0.8039519970822327,2021-01-30,No
